date,game_type,unique_start_players,game_start,unique_complete_players,game_complete
2026-08-13,ladder,0,0,2,2
2026-08-15,alphabetty,11,21,10,20
2026-08-15,des131,5,16,0,0
2026-08-15,ladder,33,69,30,49
2026-08-15,replacement,2,3,0,0
2026-08-16,alphabetty,41,65,41,64
2026-08-16,des167,1,3,0,0
2026-08-16,des171,52,166,0,0
2026-08-16,des171_test,1,3,0,0
2026-08-16,ladder,113,192,94,160
2026-08-16,replacement,2,3,2,2
2026-08-16,walls,2,5,0,0
2026-08-16,week_task,2,2,0,0
2026-08-17,alphabetty,45,73,43,69
2026-08-17,des171,16,24,0,0
2026-08-17,ladder,127,195,98,150
2026-08-17,palindromes,2,2,0,0
2026-08-17,replacement,3,4,2,2
2026-08-17,walls,2,2,0,0
2026-08-17,week_task,10,13,0,0
2026-08-18,alphabetty,46,66,44,61
2026-08-18,des136,1,1,0,0
2026-08-18,des168,1,6,0,0
2026-08-18,des169,1,1,0,0
2026-08-18,des171,5,7,0,0
2026-08-18,ladder,152,211,113,160
2026-08-18,palindromes,1,2,0,0
2026-08-18,replacement,2,4,2,3
2026-08-18,week_task,20,24,0,0
2026-08-19,alphabetty,42,67,42,68
2026-08-19,des100,1,1,0,0
2026-08-19,des169,2,2,0,0
2026-08-19,des171,6,26,0,0
2026-08-19,des79,1,1,0,0
2026-08-19,des99,1,3,0,0
2026-08-19,ladder,172,284,131,222
2026-08-19,palindromes,3,5,0,0
2026-08-19,week_task,2,2,0,0
2026-08-20,alphabetty,34,39,32,38
2026-08-20,des105,1,1,0,0
2026-08-20,des114,1,5,0,0
2026-08-20,des170,1,7,0,0
2026-08-20,des171,2,4,0,0
2026-08-20,ladder,147,254,121,218
2026-08-20,palindromes,2,2,0,0
2026-08-20,replacement,1,1,0,0
2026-08-20,walls,1,2,0,0
2026-08-20,week_task,4,5,0,0
2026-08-21,alphabetty,34,46,32,42
2026-08-21,des167,1,4,0,0
2026-08-21,des168,1,2,0,0
2026-08-21,ladder,139,266,124,239
2026-08-21,replacement,1,3,1,1
2026-08-21,walls,1,3,0,0
2026-08-21,week_task,2,2,0,0
2026-08-22,alphabetty,29,38,29,39
2026-08-22,des167,1,1,0,0
2026-08-22,ladder,114,160,100,147
2026-08-22,replacement,2,4,2,5
2026-08-22,week_task,2,2,0,0
2026-08-23,alphabetty,41,81,36,75
2026-08-23,des170,1,5,0,0
2026-08-23,des171,2,5,0,0
2026-08-23,ladder,124,191,101,149
2026-08-23,palindromes,1,1,0,0
2026-08-23,replacement,1,4,1,4
2026-08-23,salad,116,116,0,0
2026-08-23,walls,2,2,0,0
2026-08-23,week_task,2,2,0,0
2026-08-24,alphabetty,38,56,38,54
2026-08-24,des171,2,5,0,0
2026-08-24,ladder,150,238,135,214
2026-08-24,palindromes,3,3,0,0
2026-08-24,replacement,2,6,1,3
2026-08-24,salad,125,153,0,0
2026-08-24,walls,3,5,0,0
2026-08-24,week_task,8,9,0,0
2026-08-25,alphabetty,48,109,47,101
2026-08-25,des115,2,7,0,0
2026-08-25,des143,1,2,0,0
2026-08-25,ladder,155,278,139,237
2026-08-25,palindromes,2,3,0,0
2026-08-25,replacement,6,12,6,9
2026-08-25,salad,137,198,0,0
2026-08-25,walls,5,7,0,0
2026-08-25,week_task,7,8,0,0
2026-08-26,alphabetty,50,97,50,99
2026-08-26,des137,1,4,0,0
2026-08-26,des143,2,3,0,0
2026-08-26,des171,2,2,0,0
2026-08-26,ladder,148,220,124,186
2026-08-26,palindromes,1,1,0,0
2026-08-26,replacement,3,11,5,11
2026-08-26,salad,145,191,121,167
2026-08-26,walls,2,4,0,0
2026-08-27,alphabetty,57,113,57,112
2026-08-27,des137,1,1,0,0
2026-08-27,ladder,144,222,129,200
2026-08-27,palindromes,2,2,0,0
2026-08-27,replacement,2,2,1,1
2026-08-27,salad,153,199,146,189
2026-08-27,walls,2,3,0,0
2026-08-27,week_task,6,10,0,0
2026-08-28,alphabetty,64,92,60,87
2026-08-28,des171,1,1,0,0
2026-08-28,ladder,158,278,135,255
2026-08-28,palindromes,2,2,0,0
2026-08-28,replacement,3,6,3,6
2026-08-28,salad,170,248,154,218
2026-08-28,week_task,3,3,0,0
2026-08-29,alphabetty,49,77,45,70
2026-08-29,des170,1,2,0,0
2026-08-29,des171,1,1,0,0
2026-08-29,ladder,140,218,124,194
2026-08-29,palindromes,5,9,0,0
2026-08-29,replacement,4,4,3,4
2026-08-29,salad,180,246,128,181
2026-08-29,walls,4,6,0,0
2026-08-29,week_task,3,3,0,0
2026-08-30,alphabetty,41,59,34,51
2026-08-30,des171,1,7,0,0
2026-08-30,ladder,133,196,122,181
2026-08-30,palindromes,1,1,0,0
2026-08-30,replacement,1,1,1,1
2026-08-30,salad,166,241,129,190
2026-08-30,week_task,2,4,0,0
2026-08-31,alphabetty,51,64,47,60
2026-08-31,ladder,147,236,135,206
2026-08-31,palindromes,1,1,0,0
2026-08-31,salad,168,239,143,203
2026-08-31,walls,1,1,0,0
2026-08-31,week_task,5,6,0,0
