date,dau,dau_status,new_users,new_users_status,new_registrations,unique_players,registered_players,anonymous_players,team_actors,game_start,game_complete,completed_users,signup,activated_player,first_time_players,returned_from_previous_day,persisted_attempts,start_coverage,complete_coverage
2026-08-01,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,,,,,,,,,,,,5018,pre_start_instrumentation,pre_complete_instrumentation
2026-08-02,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,,,,,,,,,,,,5733,pre_start_instrumentation,pre_complete_instrumentation
2026-08-03,,unavailable_no_visit_identity,,unavailable_no_visit_identity,4,,,,,,,,,,,,6066,pre_start_instrumentation,pre_complete_instrumentation
2026-08-04,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,,,,,,,,,,,,5864,pre_start_instrumentation,pre_complete_instrumentation
2026-08-05,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,,,,,,,,,,,,5760,pre_start_instrumentation,pre_complete_instrumentation
2026-08-06,,unavailable_no_visit_identity,,unavailable_no_visit_identity,0,,,,,,,,,,,,5572,pre_start_instrumentation,pre_complete_instrumentation
2026-08-07,,unavailable_no_visit_identity,,unavailable_no_visit_identity,3,,,,,,,,,,,,5196,pre_start_instrumentation,pre_complete_instrumentation
2026-08-08,,unavailable_no_visit_identity,,unavailable_no_visit_identity,0,,,,,,,,,,,,4298,pre_start_instrumentation,pre_complete_instrumentation
2026-08-09,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,,,,,,,,,,,,4119,pre_start_instrumentation,pre_complete_instrumentation
2026-08-10,,unavailable_no_visit_identity,,unavailable_no_visit_identity,4,,,,,,0,0,,,,,4908,pre_start_instrumentation,partial_from_22_20_msk
2026-08-11,,unavailable_no_visit_identity,,unavailable_no_visit_identity,4,,,,,,0,0,,,,,7693,pre_start_instrumentation,observed_full_day
2026-08-12,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,,,,,,0,0,,,,,4872,pre_start_instrumentation,observed_full_day
2026-08-13,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,,,,,,2,2,,,,,5006,pre_start_instrumentation,observed_full_day
2026-08-14,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,,,,,,0,0,,,,,5394,pre_start_instrumentation,observed_full_day
2026-08-15,,unavailable_no_visit_identity,,unavailable_no_visit_identity,0,43,20,23,0,109,69,35,0,2,15,,3719,partial_from_16_49_msk,observed_full_day
2026-08-16,,unavailable_no_visit_identity,,unavailable_no_visit_identity,4,157,90,67,0,439,226,110,4,5,40,,5781,observed_full_day,observed_full_day
2026-08-17,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,148,63,85,0,313,221,115,0,1,26,83,5145,observed_full_day,observed_full_day
2026-08-18,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,178,67,111,0,322,224,130,2,8,37,97,4666,observed_full_day,observed_full_day
2026-08-19,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,189,65,125,0,391,290,146,1,12,62,98,5202,observed_full_day,observed_full_day
2026-08-20,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,158,60,98,0,320,256,131,2,11,24,102,4393,observed_full_day,observed_full_day
2026-08-21,,unavailable_no_visit_identity,,unavailable_no_visit_identity,0,153,65,88,0,326,282,135,0,7,14,98,5280,observed_full_day,observed_full_day
2026-08-22,,unavailable_no_visit_identity,,unavailable_no_visit_identity,0,124,55,69,0,205,191,108,0,2,6,79,3643,observed_full_day,observed_full_day
2026-08-23,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,179,69,112,0,407,228,112,2,5,26,82,5698,observed_full_day,observed_full_day
2026-08-24,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,201,73,129,0,475,271,144,1,9,32,120,5364,observed_full_day,observed_full_day
2026-08-25,,unavailable_no_visit_identity,,unavailable_no_visit_identity,3,208,78,130,0,624,347,148,1,6,34,121,7723,observed_full_day,observed_full_day
2026-08-26,,unavailable_no_visit_identity,,unavailable_no_visit_identity,1,201,81,120,0,533,463,174,1,8,20,131,6657,observed_full_day,observed_full_day
2026-08-27,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,203,81,123,0,552,502,188,2,8,24,142,6647,observed_full_day,observed_full_day
2026-08-28,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,229,77,153,0,630,566,201,2,15,44,137,7710,observed_full_day,observed_full_day
2026-08-29,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,224,74,151,0,566,449,174,2,10,53,125,6750,observed_full_day,observed_full_day
2026-08-30,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,209,71,138,0,509,423,170,2,10,45,126,6133,observed_full_day,observed_full_day
2026-08-31,,unavailable_no_visit_identity,,unavailable_no_visit_identity,2,212,80,133,0,547,469,185,2,10,31,124,5446,observed_full_day,observed_full_day
