game_type,unique_players,game_start,game_complete,completion_rate_pct,unique_placements_started,avg_starts_per_player,avg_completes_per_player,continued_after_first_users,continued_after_first_pct,d1_users,d1_eligible,d1_pct,d7_users,d7_eligible,d7_pct,first_product_game_for_new_players
alphabetty,198,1163,1110,95.44,31,5.874,5.606,168,84.85,103,198,52.02,68,129,52.71,44
des100,1,1,0,0.0,1,1.0,0.0,1,100.0,1,1,100.0,1,1,100.0,0
des105,1,1,0,0.0,1,1.0,0.0,1,100.0,0,1,0.0,1,1,100.0,1
des114,1,5,0,0.0,5,5.0,0.0,1,100.0,1,1,100.0,1,1,100.0,0
des115,2,7,0,0.0,6,3.5,0.0,1,50.0,1,2,50.0,1,2,50.0,1
des131,5,16,0,0.0,7,3.2,0.0,4,80.0,3,5,60.0,1,5,20.0,3
des136,1,1,0,0.0,1,1.0,0.0,1,100.0,1,1,100.0,1,1,100.0,0
des137,2,5,0,0.0,5,2.5,0.0,2,100.0,1,2,50.0,0,0,,1
des143,2,5,0,0.0,3,2.5,0.0,2,100.0,1,2,50.0,0,1,0.0,0
des167,2,8,0,0.0,5,4.0,0.0,2,100.0,1,2,50.0,0,2,0.0,1
des168,2,8,0,0.0,6,4.0,0.0,2,100.0,0,2,0.0,0,2,0.0,2
des169,2,3,0,0.0,3,1.5,0.0,1,50.0,1,2,50.0,1,2,50.0,0
des170,3,14,0,0.0,7,4.667,0.0,3,100.0,3,3,100.0,0,2,0.0,1
des171,81,248,0,0.0,8,3.062,0.0,71,87.65,43,81,53.09,34,76,44.74,20
des171_test,1,3,0,0.0,3,3.0,0.0,1,100.0,1,1,100.0,1,1,100.0,0
des79,1,1,0,0.0,1,1.0,0.0,1,100.0,1,1,100.0,1,1,100.0,0
des99,1,3,0,0.0,3,3.0,0.0,1,100.0,1,1,100.0,1,1,100.0,0
ladder,517,3708,3169,85.46,67,7.172,6.13,382,73.89,197,517,38.1,149,426,34.98,247
palindromes,21,34,0,0.0,14,1.619,0.0,17,80.95,14,21,66.67,8,12,66.67,1
replacement,20,68,52,76.47,46,3.4,2.6,17,85.0,12,20,60.0,8,14,57.14,3
salad,444,1831,1148,62.7,9,4.124,2.586,313,70.5,176,444,39.64,120,213,56.34,198
walls,24,40,0,0.0,17,1.667,0.0,20,83.33,13,24,54.17,6,15,40.0,3
week_task,60,95,0,0.0,5,1.583,0.0,51,85.0,33,60,55.0,22,48,45.83,7
