placement_id,date,game_type,game_id,public_game_id,placement_name,unique_starters,unique_completers,period_completion_rate_pct,starter_cohort_completers,starter_cohort_completion_pct,mean_solve_seconds,median_solve_seconds,mean_attempts_to_complete,median_attempts_to_complete,difficulty_stars,difficulty_n,new_players,new_players_continued,new_players_continued_pct,d1_users,d1_eligible,d1_pct,d7_users,d7_eligible,d7_pct,start_coverage_from,complete_coverage_from
1225,2026-08-01,alphabetty,alphabetty,1,Алфавитка #1,11,11,100.0,11,100.0,782.0,391.5,18.0,21,5,169,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1179,2026-08-01,ladder,ladder,25,Лесенка #25,20,16,80.0,16,80.0,27197.0,366.4,16.12,15.5,3,208,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1226,2026-08-02,alphabetty,alphabetty,2,Алфавитка #2,10,10,100.0,10,100.0,214.9,201.9,13.5,15.5,4,131,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1220,2026-08-02,ladder,ladder,26,Лесенка #26,15,12,80.0,12,80.0,28156.2,433.4,16.67,14.0,3,209,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1227,2026-08-03,alphabetty,alphabetty,3,Алфавитка #3,9,9,100.0,9,100.0,137.8,117.1,12.67,12,3,113,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1171,2026-08-03,ladder,ladder,27,Лесенка #27,19,14,73.68,14,73.68,573.3,354.1,15.36,13.5,4,240,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1266,2026-08-03,week_task,week_task,1,Цветные персонажи,12,0,0.0,0,0.0,,,,,,,1,0,0.0,0,1,0.0,0,1,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1228,2026-08-04,alphabetty,alphabetty,4,Алфавитка #4,11,11,100.0,11,100.0,166.1,172.3,13.91,15,3,113,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1224,2026-08-04,ladder,ladder,28,Лесенка #28,21,14,66.67,15,71.43,85809.6,1018.0,15.27,16,4,217,1,0,0.0,0,1,0.0,0,1,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1229,2026-08-05,alphabetty,alphabetty,5,Алфавитка #5,13,13,100.0,13,100.0,8604.1,483.5,20.0,22,5,103,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1178,2026-08-05,ladder,ladder,29,Лесенка #29,17,14,82.35,14,82.35,362.6,346.6,13.71,13.0,3,212,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1232,2026-08-06,alphabetty,alphabetty,6,Алфавитка #6,12,12,100.0,12,100.0,94.4,89.0,8.5,10.0,2,98,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1268,2026-08-06,ladder,ladder,30,Лесенка #30,22,13,59.09,13,59.09,128822.4,1168.4,19.23,20,4,232,1,1,100.0,0,1,0.0,0,1,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1234,2026-08-07,alphabetty,alphabetty,7,Алфавитка #7,17,16,94.12,16,94.12,2463.6,247.7,12.94,13.5,4,89,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1176,2026-08-07,ladder,ladder,31,Лесенка #31,25,18,72.0,18,72.0,29770.2,415.7,17.83,17.0,3,207,1,0,0.0,0,1,0.0,0,1,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1238,2026-08-08,alphabetty,alphabetty,8,Алфавитка #8,11,11,100.0,11,100.0,2189.2,231.7,15.0,15,3,81,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1269,2026-08-08,ladder,ladder,32,Лесенка #32,28,25,89.29,25,89.29,484.7,379.7,10.76,10,3,226,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1233,2026-08-09,alphabetty,alphabetty,9,Алфавитка #9,13,12,92.31,12,92.31,321.0,248.8,16.83,17.0,3,80,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1173,2026-08-09,ladder,ladder,33,Лесенка #33,26,22,84.62,22,84.62,380.5,270.4,11.14,11.0,2,210,1,1,100.0,0,1,0.0,0,1,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1235,2026-08-10,alphabetty,alphabetty,10,Алфавитка #10,14,13,92.86,14,100.0,67415.9,221.7,16.5,16.0,3,76,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1308,2026-08-10,ladder,ladder,34,Лесенка #34,21,17,80.95,17,80.95,58165.2,298.5,11.65,11,3,197,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1274,2026-08-10,week_task,week_task,2,Последовательности · 1,9,0,0.0,0,0.0,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1230,2026-08-11,alphabetty,alphabetty,11,Алфавитка #11,16,14,87.5,14,87.5,848.8,369.6,15.64,17.0,4,80,1,1,100.0,1,1,100.0,0,1,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1174,2026-08-11,ladder,ladder,35,Лесенка #35,29,24,82.76,25,86.21,2822.7,571.1,17.24,15,3,223,3,2,66.67,0,3,0.0,0,2,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1231,2026-08-12,alphabetty,alphabetty,12,Алфавитка #12,18,18,100.0,18,100.0,3332.9,224.8,14.28,13.5,3,74,2,2,100.0,1,2,50.0,0,2,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1270,2026-08-12,ladder,ladder,36,Лесенка #36,32,26,81.25,26,81.25,3380.7,246.2,10.35,8.5,2,195,1,1,100.0,0,1,0.0,0,1,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1236,2026-08-13,alphabetty,alphabetty,13,Алфавитка #13,19,19,100.0,19,100.0,141.8,103.1,9.74,9,1,74,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1185,2026-08-13,ladder,ladder,37,Лесенка #37,52,40,76.92,38,73.08,2526.0,490.0,16.68,14.0,4,199,3,3,100.0,1,3,33.33,1,3,33.33,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1237,2026-08-14,alphabetty,alphabetty,14,Алфавитка #14,23,23,100.0,23,100.0,153.0,113.7,12.65,14,2,68,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1307,2026-08-14,ladder,ladder,38,Лесенка #38,59,55,93.22,54,91.53,460.7,247.6,22.17,14.0,1,177,3,3,100.0,2,3,66.67,1,3,33.33,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1240,2026-08-15,alphabetty,alphabetty,15,Алфавитка #15,35,34,97.14,34,97.14,28818.9,195.5,13.5,13.0,3,58,3,3,100.0,1,3,33.33,2,3,66.67,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1221,2026-08-15,ladder,ladder,39,Лесенка #39,84,76,90.48,76,90.48,2239.7,455.9,11.67,11.0,3,160,13,10,76.92,5,13,38.46,5,13,38.46,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1239,2026-08-16,alphabetty,alphabetty,16,Алфавитка #16,63,63,100.0,63,100.0,233.8,168.8,15.38,15,2,64,5,4,80.0,1,5,20.0,2,5,40.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1323,2026-08-16,ladder,ladder,40,Лесенка #40,146,122,83.56,122,83.56,21746.5,887.3,18.36,16.0,4,77,8,5,62.5,3,8,37.5,1,8,12.5,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1329,2026-08-16,des171_test,des171_test,1,Непростые украшенья,1,0,0.0,0,0.0,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1330,2026-08-16,des171_test,des171_test,2,Мнемосина,1,0,0.0,0,0.0,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1332,2026-08-16,des171_test,des171_test,3,Лесенки,1,0,0.0,0,0.0,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1334,2026-08-16,des171_test,des171_test,4,Соотношение,0,0,,0,,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1337,2026-08-16,des171_test,des171_test,5,Музыка нас связала,0,0,,0,,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1339,2026-08-16,des171_test,des171_test,6,Химеры,0,0,,0,,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1343,2026-08-16,des171_test,des171_test,7,Лабиринт,0,0,,0,,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1341,2026-08-16,des171_test,des171_test,8,Cryptids,0,0,,0,,,,,,,,0,0,,0,0,,0,0,,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1328,2026-08-16,des171,des171,1,Непростые украшенья,46,0,0.0,0,0.0,,,,,,,8,7,87.5,2,8,25.0,0,8,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1331,2026-08-16,des171,des171,2,Мнемосина,37,0,0.0,0,0.0,,,,,,,2,1,50.0,0,2,0.0,0,2,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
1333,2026-08-16,des171,des171,3,Лесенки,61,0,0.0,0,0.0,,,,,,,6,3,50.0,0,6,0.0,0,6,0.0,2026-08-15T16:49:44+03:00,2026-08-10T22:20:23+03:00
