cohort_date,cohort_size,d1_start_users,d1_start_pct,d1_complete_users,d1_complete_pct,rolling_d1_start_users,rolling_d1_start_pct,d2_start_users,d2_start_pct,d2_complete_users,d2_complete_pct,rolling_d2_start_users,rolling_d2_start_pct,d3_start_users,d3_start_pct,d3_complete_users,d3_complete_pct,rolling_d3_start_users,rolling_d3_start_pct,d7_start_users,d7_start_pct,d7_complete_users,d7_complete_pct,rolling_d7_start_users,rolling_d7_start_pct,d14_start_users,d14_start_pct,d14_complete_users,d14_complete_pct,rolling_d14_start_users,rolling_d14_start_pct,d21_start_users,d21_start_pct,d21_complete_users,d21_complete_pct,rolling_d21_start_users,rolling_d21_start_pct,d30_start_users,d30_start_pct,d30_complete_users,d30_complete_pct,rolling_d30_start_users,rolling_d30_start_pct
2026-08-15,15,9,60.0,7,46.67,13,86.67,4,26.67,4,26.67,13,86.67,5,33.33,4,26.67,13,86.67,6,40.0,6,40.0,10,66.67,6,40.0,5,33.33,8,53.33,,,,,,,,,,,,
2026-08-16,40,9,22.5,8,20.0,19,47.5,13,32.5,10,25.0,18,45.0,8,20.0,7,17.5,16,40.0,7,17.5,6,15.0,15,37.5,8,20.0,8,20.0,10,25.0,,,,,,,,,,,,
2026-08-17,26,9,34.62,6,23.08,15,57.69,7,26.92,7,26.92,15,57.69,6,23.08,5,19.23,15,57.69,5,19.23,2,7.69,10,38.46,3,11.54,3,11.54,4,15.38,,,,,,,,,,,,
2026-08-18,37,8,21.62,7,18.92,18,48.65,10,27.03,7,18.92,18,48.65,9,24.32,8,21.62,16,43.24,5,13.51,4,10.81,11,29.73,4,10.81,3,8.11,4,10.81,,,,,,,,,,,,
2026-08-19,62,13,20.97,12,19.35,22,35.48,13,20.97,13,20.97,21,33.87,8,12.9,7,11.29,19,30.65,7,11.29,6,9.68,15,24.19,,,,,,,,,,,,,,,,,,
2026-08-20,24,4,16.67,2,8.33,10,41.67,5,20.83,4,16.67,9,37.5,3,12.5,2,8.33,7,29.17,3,12.5,3,12.5,4,16.67,,,,,,,,,,,,,,,,,,
2026-08-21,14,1,7.14,1,7.14,8,57.14,4,28.57,3,21.43,8,57.14,4,28.57,3,21.43,8,57.14,1,7.14,1,7.14,3,21.43,,,,,,,,,,,,,,,,,,
2026-08-22,6,2,33.33,2,33.33,2,33.33,1,16.67,1,16.67,2,33.33,0,0.0,0,0.0,2,33.33,1,16.67,1,16.67,2,33.33,,,,,,,,,,,,,,,,,,
2026-08-23,26,9,34.62,3,11.54,16,61.54,8,30.77,3,11.54,14,53.85,6,23.08,3,11.54,12,46.15,4,15.38,3,11.54,6,23.08,,,,,,,,,,,,,,,,,,
2026-08-24,32,4,12.5,4,12.5,9,28.12,5,15.62,5,15.62,8,25.0,6,18.75,5,15.62,7,21.88,6,18.75,5,15.62,6,18.75,,,,,,,,,,,,,,,,,,
2026-08-25,34,7,20.59,6,17.65,11,32.35,9,26.47,9,26.47,10,29.41,6,17.65,4,11.76,8,23.53,5,14.71,5,14.71,5,14.71,,,,,,,,,,,,,,,,,,
2026-08-26,20,4,20.0,4,20.0,5,25.0,3,15.0,3,15.0,4,20.0,2,10.0,2,10.0,3,15.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,24,3,12.5,3,12.5,6,25.0,4,16.67,4,16.67,6,25.0,5,20.83,5,20.83,6,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28,44,3,6.82,3,6.82,7,15.91,3,6.82,3,6.82,6,13.64,4,9.09,4,9.09,6,13.64,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-29,53,4,7.55,3,5.66,6,11.32,5,9.43,3,5.66,6,11.32,3,5.66,3,5.66,3,5.66,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,45,2,4.44,2,4.44,3,6.67,2,4.44,2,4.44,2,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,31,5,16.13,4,12.9,5,16.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
